song_id,valence_mean,valence_std,arousal_mean,arousal_std,tempo,zcr,spectral_centroid,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,label
2,3.1,0.94,3.0,0.63,143.5546875,0.06808894617787223,1800.444141327198,-138.77792,115.72034,-13.459589,28.933584,4.2488036,12.083774,3.440123,1.1037897,-0.37801158,6.9264197,-5.050406,4.974023,0.8405302,0.23250154,0.20217298,0.22227031,0.30768642,0.4721612,0.49534824,0.34334362,0.34037563,0.5407261,0.6626883,0.4693088,0.33280018,0
3,3.5,1.75,3.3,1.62,95.703125,0.024277897471005155,965.6738046754399,-245.03816,129.64636,11.065096,44.862827,19.510803,27.888992,20.369873,14.797477,10.218618,10.335734,0.38223863,0.6971476,0.6550124,0.43727717,0.36444405,0.3967492,0.46717274,0.57773554,0.4900108,0.4021448,0.45063752,0.4598291,0.43515855,0.39253128,0.44949737,0
4,5.7,1.42,5.5,1.63,172.265625,0.0673156109052835,1675.1374094707253,-104.9403,113.59895,-11.113584,35.52259,29.523623,11.210073,-0.7923139,4.643266,-0.52469033,1.8150637,-0.92962444,5.673686,-3.1649845,0.2765735,0.20929278,0.2375546,0.25173506,0.48524776,0.25401428,0.19048835,0.31786108,0.4426927,0.7556232,0.43130347,0.34377018,0
5,4.4,2.01,5.3,1.85,99.38401442307692,0.06411032135953608,1617.374647195676,-142.96272,116.62689,4.4800315,25.239824,-6.341499,-12.160521,-6.476308,-11.558755,-10.4340725,-12.519713,-8.767929,-9.102596,-14.052287,0.2524088,0.33452037,0.27566722,0.4322277,0.28955674,0.22839141,0.42615667,0.16034028,0.16726717,0.12934422,0.2987843,0.5224732,0
7,5.8,1.47,6.4,1.69,117.45383522727273,0.022921546963549717,1265.3552284488208,-150.70235,109.89432,25.223463,47.54203,16.30718,31.043226,7.6118193,11.738301,-3.2184477,1.4237013,-0.8437492,3.2432487,0.9676737,0.33553937,0.27821028,0.34077808,0.38032413,0.4274117,0.4459215,0.3775399,0.3649621,0.2819448,0.2714597,0.33418083,0.39042297,0
8,3.2,1.4,4.8,1.54,161.4990234375,0.032799620041215866,1196.7588735613338,-291.07843,134.77325,75.177475,32.590816,12.910183,17.76655,1.8213199,4.016536,-0.2520804,3.3429532,1.3359702,0.10702887,-2.7721643,0.35117528,0.29386613,0.36146632,0.39125106,0.5891352,0.32035783,0.23654778,0.35001743,0.36195585,0.41046116,0.46006244,0.5045914,0
10,4.0,1.67,4.7,1.85,95.703125,0.0760254660935085,1615.0668484937396,-267.08508,127.49353,8.400689,20.838123,22.413507,4.686922,3.501557,11.012337,2.530048,-0.5628085,-2.9831102,3.716753,-4.997895,0.31005263,0.28653106,0.3225968,0.23437305,0.26738295,0.18733634,0.23987661,0.2401476,0.2063448,0.38349193,0.2555645,0.20168357,0
12,5.5,1.91,5.8,1.89,92.28515625,0.07395234616499227,2100.0320899421745,-95.876045,97.57861,22.593195,33.11695,9.287279,10.38561,-4.73914,5.0202947,-5.153179,-1.8165413,-6.142434,-1.5889341,-10.294533,0.54832643,0.36654997,0.34258533,0.40748915,0.34283596,0.37931064,0.3068153,0.39086592,0.27304253,0.25498933,0.32797113,0.37509924,0
13,3.2,1.4,4.0,1.67,86.1328125,0.05194044629057187,1549.4074506264928,-197.4169,109.59203,9.102003,37.259678,6.1131,2.4614918,4.7324944,-1.617581,-7.152135,-3.4810266,-10.791312,-7.4711795,-11.56643,0.42546195,0.30260277,0.291918,0.2991118,0.14838581,0.29302412,0.20379075,0.2281356,0.18322523,0.22260894,0.35944667,0.33617944,0
17,4.4,1.8,6.0,2.05,107.666015625,0.06976434706658939,1902.2770119135785,-80.964935,101.837425,-4.5816154,39.01837,0.63296086,16.51885,2.2956598,7.6014166,-5.420253,-4.208149,-7.151135,-0.34022173,-0.97455525,0.34713483,0.32966492,0.40488577,0.2285061,0.22233199,0.32298428,0.38401228,0.5913648,0.4243405,0.2594958,0.31019047,0.28336102,0
